grid_section_lat,grid_section_long,venue,v_lat,v_long,category
43.8389999,-111.80579053333300,Madison County Fair,43.83093172922520,-111.79675088643800,Flea Market
43.8389999,-111.80579053333300,The Church of Jesus Christ of Latter-day Saints,43.829912,-111.800706,Church
43.8389999,-111.80579053333300,Nature Park,43.8347977396839,-111.80126399326100,Park
43.8389999,-111.80579053333300,Eagle park,43.8373598311527,-111.79807634885200,Park
43.8389999,-111.80579053333300,Great Scott's,43.8251285,-111.7889202,Gas Station
43.8389999,-111.80579053333300,Broulim's Grocery Store,43.82689440106230,-111.78757418373100,Grocery Store
43.8389999,-111.80579053333300,Idaho Mattress Outlet - Rexburg,43.82641557999770,-111.78889274597200,Furniture / Home Store
43.8389999,-111.80579053333300,BMC - Building Materials & Construction Services,43.82653,-111.790121,Hardware Store
43.8389999,-111.80579053333300,Wolfe Lighting & Accents,43.82663,-111.791044,None
43.8389999,-111.80579053333300,Taqueria la Fondita,43.82524,-111.78864473333300,None
43.8389999,-111.80579053333300,Jamba Juice,43.827121,-111.788548,Juice Bar
43.8389999,-111.80579053333300,Platt Electric Supply,43.833,-111.8,Hardware Store
43.8389999,-111.80579053333300,Rexburg Airport,43.83158815988200,-111.80666045980900,Airport Terminal
43.8389999,-111.80579053333300,The Hickory,43.825150027144300,-111.78851163920300,BBQ Joint
43.8389999,-111.80579053333300,D&T auto,43.824559450149500,-111.7927497625350,Gas Station
43.8389999,-111.80579053333300,Izcalli Mexican Food,43.826316,-111.788662,None
43.8389999,-111.80579053333300,Twin Pines Manor,43.82995479013520,-111.78623387629400,None
43.8389999,-111.80579053333300,wwe Universe,43.828838,-111.792963,None
43.8389999,-111.80579053333300,eagle park,43.826399,-111.789391,Campground
43.8389999,-111.80579053333300,Head Start Preschool,43.82977366447450,-111.78553998470300,College Academic Building
43.8389999,-111.80579053333300,noble romans,43.825347,-111.789309,Pizza Place
43.8389999,-111.80579053333300,Rexburg Rapids,43.831470524968500,-111.78546482559000,Pool
43.8389999,-111.80579053333300,Cambridge Court,43.82578911473910,-111.79610047147400,Residential Building (Apartment / Condo)
43.8389999,-111.80579053333300,Flamm Funeral Home,43.82903,-111.792639,Funeral Home
43.8389999,-111.80579053333300,R&S Automotive,43.822152077631700,-111.79736817700400,Automotive Shop
43.8389999,-111.80579053333300,Madison Gymnastics,43.82627320090810,-111.79270113701600,Gymnastics Gym
43.8389999,-111.80579053333300,Mickelsen's Home Center,43.82654428482060,-111.78950428962700,Hardware Store
43.8389999,-111.80579053333300,Hair We Are,43.827168,-111.78841500000000,Salon / Barbershop
43.8389999,-111.80579053333300,Church Ball In Rexburg,43.82172818020030,-111.80188221018800,Basketball Court
43.8389999,-111.80579053333300,Tacos Izcalli,43.82608413696290,-111.7883529663090,Taco Place
43.8389999,-111.80579053333300,Clair Boyle Skate Park,43.834697043753100,-111.79992198944100,Skate Park
43.8389999,-111.80579053333300,Gaduru,43.827120563995000,-111.78865919301200,Electronics Store
43.8389999,-111.80579053333300,Rexburg Animal Shelter,43.833441,-111.797717,Animal Shelter
